"timestampUtc","runId","buildHash","payloadSignature","interopDispatches","totalDispatches","durationMs","ratePerSecond","source","canvasWidth","canvasHeight","operationalOnly","mode","neighborEmphasis","zoomPercent","hoveredNodeId","focusedNodeId","nodeCount","edgeCount","inspectorVisible","pointerThrottleSkips","pointerEventsReceived","pointerEventsProcessed","pointerQueueDrops","pointerIntentSkips","dragFrameCount","dragTotalDurationMs","dragAverageFrameMs","dragMaxFrameMs"
"2025-12-16T13:23:30.7170000Z","run_20251214T151352Z_479f8f01","cef097524d82","1.1181|626.50|-2055.33|0.0000|2313.6475|1.1181|0.2080",4,4,32184,0.12,"auto",1253,1062.906,false,"full",true,111.81,,,76,135,false,0,58,32,22,0,465,3180.3,6.839,11.8
"2025-12-16T13:24:36.1000000Z","run_20251214T151352Z_479f8f01","cef097524d82","1.1181|643.50|-4139.79|-15.2050|4178.0031|1.1181|0.2080",54,58,65382.3,0.83,"auto",1253,1062.906,false,"full",true,111.81,,,76,135,false,0,164,84,63,0,554,3207.1,5.789,12.1
"2025-12-16T13:24:46.1010000Z","run_20251214T151352Z_479f8f01","cef097524d82","1.1181|643.50|-4139.79|-15.2050|4178.0031|1.1181|0.2080",0,58,10000.9,0,"auto",1253,1062.906,false,"full",true,111.81,,,76,135,false,0,0,0,0,0,0,0,0,0
